ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11530,구로구,10600,고척동,1,대지,0328,0000,양우,2024-03-16,43500,59.94,0.0,6.0,,20240316,2000,아파트,중개거래,서울 구로구
2024,11380,은평구,10500,구산동,1,대지,0211,0002,뉴아름빌(211-2),2024-03-15,25000,42.4,25.0,5.0,,20240315,2018,연립다세대,중개거래,서울 은평구
2024,11620,관악구,10100,봉천동,1,대지,1574,0001,생모리츠타운,2024-03-15,11700,22.24,30.66,7.0,,,2007,오피스텔,중개거래,서울 관악구
2024,11530,구로구,10200,구로동,1,대지,0415,0044,미라벨,2024-03-15,23000,29.39,18.0,2.0,,,2018,연립다세대,중개거래,서울 구로구
2024,11680,강남구,10300,개포동,1,대지,1224,0004,예가풍경채3차,2024-03-15,61000,37.43,22.0,3.0,,,2019,연립다세대,중개거래,서울 용산구
2024,11530,구로구,10700,개봉동,1,대지,0305,0005,시몬아트빌라1차(305-5),2024-03-15,29800,76.29,38.0,3.0,,,2001,연립다세대,직거래,
2024,11500,강서구,10200,등촌동,1,대지,0529,0016,대원파크빌라,2024-03-15,15000,59.64,26.0,1.0,,,1994,연립다세대,직거래,
2024,11320,도봉구,10600,방학동,1,대지,0271,0001,신동아아파트1,2024-03-15,26000,43.35,0.0,10.0,,,1986,아파트,중개거래,서울 도봉구
2024,11500,강서구,10300,화곡동,1,대지,1056,0027,경원아트빌B동,2024-03-15,19300,28.8,14.0,1.0,,,2001,연립다세대,직거래,
2024,11230,동대문구,10900,휘경동,1,대지,0377,0000,이문휘경지웰에스테이트,2024-03-15,18000,14.14,0.0,10.0,,,2021,아파트,중개거래,서울 동대문구
2024,11500,강서구,10200,등촌동,1,대지,0365,0095,에덴빌라,2024-03-15,9800,38.92,15.0,3.0,,,1991,연립다세대,직거래,
2024,11410,서대문구,11100,홍제동,1,대지,0285,0010,효명테라빌,2024-03-15,30000,77.92,45.0,1.0,,,2002,연립다세대,직거래,
2024,11305,강북구,10400,우이동,,,,,,2024-03-15,30000,173.23,100.0,0.0,,,1994,단독다가구,중개거래,서울 강북구
2024,11170,용산구,10100,후암동,1,대지,0409,0119,(409-119),2024-03-15,36800,55.34,25.0,3.0,,,1997,연립다세대,중개거래,서울 용산구
2024,11500,강서구,10300,화곡동,1,대지,0392,0031,혜성팰리스빌(392-31),2024-03-14,18500,18.4,11.0,6.0,,,2014,연립다세대,직거래,
2024,11650,서초구,10800,서초동,1,대지,1309,0001,서초동오피스텔,2024-03-14,23000,32.69,43.34,9.0,,,2004,오피스텔,중개거래,서울 서초구
2024,11470,양천구,10200,목동,1,대지,0902,0000,목동신시가지2,2024-03-14,156000,65.25,0.0,5.0,,,1986,아파트,중개거래,서울 양천구
2024,11215,광진구,10300,구의동,1,대지,0207,0004,오아시스빌,2024-03-14,24000,42.83,27.0,3.0,,,2003,연립다세대,직거래,
2024,11590,동작구,10800,대방동,1,대지,0013,0042,대명빌라나,2024-03-14,64800,40.59,28.0,2.0,,,1991,연립다세대,직거래,
2024,11215,광진구,10300,구의동,1,대지,0078,0005,현대아트빌라(78-5),2024-03-14,31300,64.2,31.0,1.0,,,1994,연립다세대,중개거래,서울 광진구
2024,11350,노원구,10300,공릉동,1,대지,0380,0001,대동아파트2,2024-03-14,61000,84.81,0.0,18.0,,,1999,아파트,중개거래,서울 노원구
2024,11710,송파구,11200,오금동,1,대지,0114,0017,현대빌라(나동),2024-03-14,18000,38.56,31.0,-1.0,,,1990,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0372,0054,월정파크빌(372-54),2024-03-14,26000,49.93,24.0,4.0,,,2012,연립다세대,중개거래,서울 강서구
2024,11680,강남구,10600,대치동,1,대지,0890,0059,선릉역 롯데골드로즈2,2024-03-14,28500,34.32,47.95,14.0,,,2004,오피스텔,중개거래,서울 강남구
